Course,Course Title,Description,credit_hours,level
Accounting,ACTG 1988 Study Abroad Resident Credit  (0-18 Credits),,18,Unknown
Accounting,ACTG 2010 Survey of Accounting  (4 Credits),"Accounting for running a business, with modules on financial accounting and a focus on managerial accounting.  Prerequisite: Sophomore standing. Business minors only.",4,Unknown
Accounting,ACTG 2200 Introduction to Financial Reporting  (4 Credits),"The purpose of this course is to introduce students to accounting and its relevance in the business world.  Students learn how to analyze transactions and prepare financial statements.  In addition, students are introduced to publicly traded company's annual reports and 10k's. Prerequisites for Business majors:INFO 1010,MATH 1200,ECON 1020, and Microsoft Excel Certification. Prerequisites for Business Administration minors: Sophomore standing and declared minor.",4,Beginner
Accounting,ACTG 2300 Accounting for Decision Making  (4 Credits),"Introduces or reinforces concepts and techniques for using accounting information for managerial purposes.  The focus is on interpreting financial information and making business decisions, not accumulating or preparing accounting information. Students will learn the concepts of cost behavior, cost-volume-profit analysis, master budgeting, relevant factors for short -term decision making and cost allocation.  Prerequisites:ACTG 2200, Microsoft Excel Certification, and admission to the Daniels College of Business.",4,Beginner
Accounting,ACTG 2988 Study Abroad Resident Credit  (0-18 Credits),,18,Unknown
Accounting,ACTG 3014 Accounting Core I - Accounting Fundamentals  (4 Credits),"The course prepares the future accountant to understand how the accounting system and profession functions within marketplace. At the conclusion of this course the student should understand: (1) the fundamental elements and terminology of business transactions and related financial accounting (2) the accounting system of recording, classifying and summarizing information, (3) economic and ethical issues relating to financial accounting, and (4) technical and communication skills necessary for the professional accountant. The practice of technical skills is supplemented with learning concepts and techniques for effective oral and written business functions, with a focus on reinforcing speaking and writing skills through practice and feedback. Prerequisites:ACTG 2200,ACTG 2300. Prerequisite or Co-requisite:FIN 2800.",4,Unknown
Accounting,ACTG 3017 Accounting Information Systems & Controls  (4 Credits),"The objective of this course is to provide an integrated learning opportunity that encompasses financial internal controls and accounting information systems. Students will learn skills that can immediately be translated to their jobs/internships. The first part of the course focuses on advanced Excel concepts and certification, as well as learning some basic concepts for database systems using Access. The second part of the course will focus on completing the accounting cycle for a business in a manual environment. The purpose being to understand the relationship of all of the documents and the needed controls. The third part of the course focuses on the use of accounting software to automate the processes from the second part of the course. The emphasis being on understanding the impact on the controls within the system. Prerequisites:ACTG 2200,ACTG 2300, andFIN 2800.",4,Advanced
Accounting,ACTG 3018 Intermediate Financial Accounting I  (4 Credits),"Foundations of financial statement content, including structure of financial accounting theory; accounting process and cycle; income determination and reporting; compound interest concepts and relationship to accounting; accounting and reporting for current assets.  Case studies of open-ended accounting problems requiring application of GAAP guidance to fact patterns.  Prerequisites:ACTG 2200,ACTG 2300. Prerequisite or Co-requisite:FIN 2800. Must be a Daniels Student.",4,Unknown
Accounting,ACTG 3019 Cost Management  (4 Credits),"This course introduces objectives, methods and problems encountered in cost accounting. Cost accounting is a broad field that often links financial and management accounting, involving communication between accountants and management. Prerequisites:ACTG 2200,ACTG 2300. Prerequisite or Co-requisite:FIN 2800.",4,Beginner
Accounting,ACTG 3034 Accounting Data Analytics  (4 Credits),"In today’s information world, accountants must be well equipped to understand and utilize the vast and varying data systems that feed a company’s decision-making process. The course fosters a data analytics mindset in accounting students by providing hands on skills with software tools with a strong emphasis on interpreting and communicating the results to the business. Students will gain experience coding in SQL, loading and manipulating data files in Alteryx, and visualizing data for effective storytelling in Tableau. Projects focus on large scale business cycles and challenge students to craft appropriate questions of the data and dig beyond initial data results to identify trends and root causes. Strong focus is placed on visually and verbally communicating the results of the data analysis to a non-technical business audience.",4,Unknown
Accounting,ACTG 3037 Cost Management  (4 Credits),"Cost Management builds upon basic concepts and techniques for using accounting information for managerial purposes. The focus is on interpreting both high-level and detailed financial information and making business decisions, not accumulating or preparing accounting information. After completing this course, the student should understand: • Cost behavior. • Techniques and uses of cost-volume-profit analysis. • Relevant factors for short-term decision-making. • Cost accumulation, tracing, and allocation. • Components and uses of the master budget. To master the course material, the student will need a basic understanding of historical financial accounting, but the course emphasizes present and future management actions. Prerequisites:ACTG 2300andACTG 3018.",4,Unknown
Accounting,ACTG 3038 Accounting Core II - Intermediate Financial Accounting II  (4 Credits),"The focus of this course is the foundation and content of published financial statements. Specifically, it covers the following two modules: 1) assets: recognition, measurement and reporting issues, a) fixed assets and b) intangible assets; 2) liabilities: recognition, measurement and reporting issues, a) current liabilities, b) contingencies, and c) long-term liabilities. Common to each of the modules is an emphasis on reading GAAP and applying the GAAP guidance to fact patterns. In particular, the course is designed to enhance each student's ability to identify, discuss, and resolve open-ended problems (i.e., those having no single ""correct"" answer). Therefore, each student must commit to being an active participant in the class discussions. The two main reasons to participate are that (1) the class will be a richer experience if we hear a variety of views on each issue and (2) it is important to develop confidence in your ability to analyze and discuss complex technical issues, and to explain and justify your conclusions. Prerequisites:ACTG 3014,ACTG 3019andACTG 3018.",4,Unknown
Accounting,ACTG 3049 Accounting Information Systems  (4 Credits),"The objective of this course is to provide an integrated learning opportunity that encompasses financial statement assurance and accounting information systems. The first part of the course exposes these issues using a hypothetical company based on an actual company. The student should develop a knowledge and understanding of this particular industry and how it provides assurance of the company's financial statements as well as address a variety of challenging accounting information systems issues. The second part of the course focuses on a conceptual framework to emphasize the professional and legal responsibility of accountants, auditors, and management for the design, operation, and control of AIS applications.",4,Unknown
