Course Title,Description,Prerequisites,Preq_Notes,Keywords,Course Code,Department,Credits,Difficulty
ACTG 3130 RPA in the Business and Accounting Environment (4 Credits),"Robotic Process Automation (RPA) is an emerging technology that is changing the way businesses process data. RPA allows many business processes to be automated and remove the human from performing repetitive tasks. This course will teach the basics of the technology using one of the most popular RPA software programs, Ui Path. Students will learn the theory, design an application of RPA through small projects.",,,"an application, an emerging technology, automation, many business processes, repetitive, repetitive tasks, small, small projects, software, task, technology, the basics, the human, the most popular rpa software programs, the technology, the theory, the way, this course, ui path, way",ACTG 3130,ACTG,4,Beginner
ACTG 3018 Intermediate Financial Accounting I (4 Credits),"Foundations of official statement content, including structure of official accounting theory; accounting process and cycle; income determination and reporting; compound interest concepts and relationship to accounting; accounting and reporting for current assets. Case studies of open-ended accounting problems requiring application of GAAP guidance to fact patterns. Prerequisites: ACTG 2200, ACTG 2300. Prerequisite or Co-requisite: FIN 2800. Must be a Daniels Student.","ACTG2200, ACTG2300, FIN2800",,"a daniels student, accounting, actg, asset, case studies, compound, compound interest concepts, current assets, determination, ended, fin, foundation, gaap, gaap guidance, income, interest, official, official statement content, open, open-ended accounting problems, pattern, relationship, requisite, structure",ACTG 3018,ACTG,4,Intermediate
ACTG 3885 Undergraduate Field Experience (0 Credits),Compensated work experience; no academic credit. Prerequisite: instructor's permission.,,Instructor's permission.,"compensated work experience, experience, instructor, no academic credit, permission, prerequisite: instructor's permission",ACTG 3885,ACTG,0,Unknown
ACTG 3230 Financial Statement Analysis (4 Credits),"Consolidated official statements, accounting for leases, currency translation, and options and futures impacts, GAAP to restate official statements for differences between companies. Impact of official transactions and evaluating a firm's performance from a user's perspective.",,,"a firm's performance, a user's perspective, company, consolidated, consolidated official statements, currency, currency translation, difference, firm, future, gaap, impact, lease, official, official statements, official transactions, option, options and futures impacts, performance, perspective, transaction, translation, user",ACTG 3230,ACTG,4,Unknown
ACTG 3068 Intermediate Financial Accounting III (4 Credits),"This course is a continuation of ACTG 3018 and ACTG 3038 and completes the examination of the foundation and content of published official statements. Specific topics include: stockholders' equity, investments in debt and equity securities, revenue recognition, income taxes, pensions, leases, statement of cash flows, accounting changes and errors, and interim reporting. Prerequisites: ACTG 3034, ACTG 3037, and ACTG 3038.","ACTG3018, ACTG3034, ACTG3037, ACTG3038",,"a continuation, accounting, accounting changes, actg, cash, cash flows, continuation, debt, equity, equity securities, error, examination, flow, foundation, income, income taxes, interim, interim reporting, investment, lease, official, pension, published official statements, recognition, revenue, revenue recognition, security, specific topics, stockholder, stockholders' equity, taxis, the examination, the foundation, this course",ACTG 3068,ACTG,4,Intermediate
ACTG 3038 Accounting Core II - Intermediate Financial Accounting II (4 Credits),"The focus of this course is the foundation and content of published official statements. Specifically, it covers the following two modules: 1) assets: recognition, measurement and reporting issues, a) fixed assets and b) intangible assets; 2) liabilities: recognition, measurement and reporting issues, a) current liabilities, b) contingencies, and c) long-term liabilities. Common to each of the modules is an emphasis on reading GAAP and applying the GAAP guidance to fact patterns. In particular, the course is designed to enhance each student's ability to identify, discuss, and resolve open-ended problems (i. e. , those having no single ""correct"" answer). Therefore, each student must commit to being an active participant in the class discussions. The two main reasons to participate are that (1) the class will be a richer experience if we hear a variety of views on each issue and (2) it is important to develop confidence in your ability to analyze and discuss complex technical issues, and to explain and justify your conclusions. Prerequisites: ACTG 3014, ACTG 3019 and ACTG 3018.","ACTG3014, ACTG3018, ACTG3019",,"1) assets, 2) liabilities, a richer experience, a variety, actg, active, an active participant, an emphasis, asset, c) long-term liabilities, common, complex, complex technical issues, conclusion, confidence, contingency, each issue, each student, each student's ability, experience, fixed assets, foundation, gaap, important, intangible, intangible assets, liability, long, measurement, module, official, open, open-ended problems, participant, particular, pattern, published official statements, reason, recognition, rich, technical, term, the class, the class discussions, the course, the focus, the foundation, the gaap guidance, the modules, the two main reasons, this course, variety, view, your ability, your conclusions",ACTG 3038,ACTG,4,Intermediate
ACTG 3880 Internship - Undergraduate (0-4 Credits),Practical work experience.,,,"experience, practical work experience",ACTG 3880,ACTG,0,Unknown
ACTG 3282 Intermediate Financial Accounting II (4 Credits),"This course is a continuation of Intermediate Ficial Accounting I. The focus of this course is the application of Generally Accepted Accounting Principles to complex business transactions. The course includes various intermediate accounting topics, including current and long-term liabilities, leases, income taxes, pensions, shareholders’ equity, earnings per share, the statement of cash flows, and other official reporting issues. Prerequisite: ACTG 3281.",ACTG3281,,"a continuation, accounting, cash, cash flows, complex, complex business transactions, continuation, current and long-term liabilities, earning, equity, ficial, flow, generally accepted accounting principles, income, income taxes, intermediate, intermediate ficial accounting i., lease, liability, long, official, other official reporting issues, pension, share, shareholder, taxis, term, the application, the course, the focus, the statement, this course, transaction, various intermediate accounting topics",ACTG 3282,ACTG,4,Intermediate
ACTG 2200 Introduction to Financial Reporting (4 Credits),"The purpose of this course is to introduce students to accounting and its relevance in the business world. Students learn how to analyze transactions and prepare official statements. In addition, students are introduced to publicly traded company's annual reports and 10 k's. Prerequisites for Business majors: INFO 1010, MATH 1200, ECON 1020, and Microsoft Excel Certification. Prerequisites for Business Administration minors: Sophomore standing and declared minor.","ECON1020, INFO1010, MATH1200",,"10 k, accounting, addition, administration, annual, business administration minors, business majors, certification, company, econ, excel, info, math, microsoft, microsoft excel certification, official, official statements, publicly traded company's annual reports, purpose, relevance, report, sophomore, the business world, the purpose, this course, transaction",ACTG 2200,ACTG,4,Beginner
ACTG 3620 Accounting Ethics (4 Credits),"This course focuses on the idea of community and the ethical and social relationships of accounting leaders and business organizations in their communities. The course focus is on the role of the accounting professional and the unique and special responsibilities associated with that role. This is examined by analyzing a variety of issues that students will face during their careers. The goal is to provide students with generalized understanding and skills that can be employed in dealing with other issues that emerge directly relate to the state Code of Professional Conduct applicable to CPAs, the Code provisions are discussed and analyzed.",,,"a variety, accounting, accounting leaders, applicable, business organizations, career, code, conduct, cpa, ethical, generalized, generalized understanding, goal, idea, leader, organization, other issues, professional, professional conduct, provision, relationship, responsibility, special, state, that role, the accounting professional, the code provisions, the course focus, the ethical and social relationships, the goal, the idea, the role, the state code, the unique and special responsibilities, their careers, their communities, this course, understanding, unique, variety",ACTG 3620,ACTG,4,Unknown
ACTG 3017 Accounting Information Systems & Controls (4 Credits),"The objective of this course is to provide an integrated learning opportunity that encompasses official internal controls and accounting information systems. Students will learn skills that can immediately be translated to their jobs/internships. The first part of the course focuses on advanced Excel concepts and certification, as well as learning some basic concepts for database systems using Access. The second part of the course will focus on completing the accounting cycle for a business in a manual environment. The purpose being to understand the relationship of all of the documents and the needed controls. The third part of the course focuses on the use of accounting software to automate the processes from the second part of the course. The emphasis being on understanding the impact on the controls within the system. Prerequisites: ACTG 2200, ACTG 2300, and FIN 2800.","ACTG2200, ACTG2300, FIN2800",,"a business, a manual environment, access, accounting, accounting information systems, accounting software, actg, advanced excel concepts, an integrated learning opportunity, certification, control, database, database systems, document, excel, fin, impact, information, internal, internship, job, learning, manual, objective, official, official internal controls, opportunity, purpose, relationship, second, software, some basic concepts, the accounting cycle, the controls, the course, the documents, the emphasis, the impact, the needed controls, the objective, the processes, the purpose, the relationship, the second part, the system, the use, their jobs, this course, use",ACTG 3017,ACTG,4,Advanced
ACTG 3551 Auditing (4 Credits),"This course covers professional ethics and legal environment, generally accepted auditing standards (GAAS), internal control, audit documentation and auditors reports.",,,"audit, audit documentation, auditing, auditing standards, auditor, control, documentation, ethic, internal, internal control, legal, legal environment, professional, professional ethics, report, standard, this course",ACTG 3551,ACTG,4,Unknown
